id,testItem,specimenName,baseCategory,detailCategory,n,mean,median,sd,cv,min,max,decimalPlaces
"urine-stat-row-2","-Specific Gravity","CU-25-01","","","1,816","1.0173","1.015","0.0053","0.5211","0.015","1.03","3"
"urine-stat-row-3","-Specific Gravity","CU-25-01","㈜디에프아이","","157","1.0185","1.02","0.0028","0.2777","1.015","1.03","3"
"urine-stat-row-4","-Specific Gravity","CU-25-01","㈜디에프아이","디유리더 300","14","1.0171","1.015","0.0026","0.2524","1.015","1.02","3"
"urine-stat-row-5","-Specific Gravity","CU-25-01","㈜디에프아이","디유리더 720","88","1.0184","1.02","0.0030","0.2935","1.015","1.025","3"
"urine-stat-row-6","-Specific Gravity","CU-25-01","㈜디에프아이","디유리더 R-50","12","1.0179","1.02","0.0026","0.2529","1.015","1.02","3"
"urine-stat-row-7","-Specific Gravity","CU-25-01","㈜디에프아이","디유리더 R-600S","28","1.0196","1.02","0.0000","0","1.015","1.03","3"
"urine-stat-row-8","-Specific Gravity","CU-25-01","㈜디에프아이","유리닥터","4","1.0188","1.02","0.0025","0.2454","1.015","1.02","3"
"urine-stat-row-9","-Specific Gravity","CU-25-01","㈜디에프아이","육안판독","11","1.0186","1.02","0.0023","0.2293","1.015","1.02","3"
"urine-stat-row-10","-Specific Gravity","CU-25-01","청도제약","","1","1.015","1.015","","","","","3"
"urine-stat-row-11","-Specific Gravity","CU-25-01","청도제약","Anyscan 720","1","1.015","1.015","","","","","3"
"urine-stat-row-12","-Specific Gravity","CU-25-01","Abbott","","483","1.024","1.025","0.0000","0","1","1.03","3"
"urine-stat-row-13","-Specific Gravity","CU-25-01","Abbott","육안판독","49","1.0257","1.025","0.0028","0.2729","1.015","1.03","3"
"urine-stat-row-14","-Specific Gravity","CU-25-01","Abbott","Others","2","1.025","","0.0000","0","1.025","1.025","3"
"urine-stat-row-15","-Specific Gravity","CU-25-01","Abbott","UroMeter120","94","1.0239","1.025","0.0000","0","1.015","1.03","3"
"urine-stat-row-16","-Specific Gravity","CU-25-01","Abbott","UroMeter720","338","1.0238","1.025","0.0000","0","1","1.03","3"
"urine-stat-row-17","-Specific Gravity","CU-25-01","Arkray Inc","","5","1.013","1.013","0.0006","0.057","1.011","1.014","3"
"urine-stat-row-18","-Specific Gravity","CU-25-01","Arkray Inc","Aution max AX-4030","4","1.0128","1.013","0.0013","0.1242","1.011","1.014","3"
"urine-stat-row-19","-Specific Gravity","CU-25-01","Arkray Inc","Aution max AX-4060","1","1.014","1.014","","","","","3"
"urine-stat-row-20","-Specific Gravity","CU-25-01","Beckman Coulter Inc.","","2","1.0125","","0.0007","0.0698","1.012","1.013","3"
"urine-stat-row-21","-Specific Gravity","CU-25-01","Beckman Coulter Inc.","iChem Velocity","2","1.0125","","0.0007","0.0698","1.012","1.013","3"
"urine-stat-row-22","-Specific Gravity","CU-25-01","Eiken","","9","1.0111","1.01","0.0000","0","1.01","1.015","3"
"urine-stat-row-23","-Specific Gravity","CU-25-01","Eiken","Us 1000","1","1.01","1.01","","","","","3"
"urine-stat-row-24","-Specific Gravity","CU-25-01","Eiken","Us 2100R","7","1.0114","1.01","0.0024","0.2412","1.01","1.015","3"
"urine-stat-row-25","-Specific Gravity","CU-25-01","Eiken","Us 2200R","1","1.01","1.01","","","","","3"
"urine-stat-row-26","-Specific Gravity","CU-25-01","Others","","40","1.0214","1.023","0.0043","0.4231","1.01","1.03","3"
"urine-stat-row-27","-Specific Gravity","CU-25-01","Others","육안판독","20","1.0232","1.025","0.0042","0.408","1.014","1.03","3"
"urine-stat-row-28","-Specific Gravity","CU-25-01","Others","Others","20","1.0195","1.02","0.0051","0.5007","1.01","1.025","3"
"urine-stat-row-29","-Specific Gravity","CU-25-01","Roche","","179","1.0096","1.015","0.0008","0.0757","0.015","1.02","3"
"urine-stat-row-30","-Specific Gravity","CU-25-01","Roche","육안판독","2","1.015","","0.0000","0","1.015","1.015","3"
"urine-stat-row-31","-Specific Gravity","CU-25-01","Roche","cobas 6500(u601)","53","1.0135","1.013","0.0008","0.0817","1.012","1.016","3"
"urine-stat-row-32","-Specific Gravity","CU-25-01","Roche","cobas u 411","121","1.0077","1.015","0.0000","0","0.015","1.02","3"
"urine-stat-row-33","-Specific Gravity","CU-25-01","Roche","Others","2","1.0175","","0.0035","0.3475","1.015","1.02","3"
"urine-stat-row-34","-Specific Gravity","CU-25-01","Roche","Urisys 1800","1","1.015","1.015","","","","","3"
"urine-stat-row-35","-Specific Gravity","CU-25-01","Siemens Healthineers","","119","1.0132","1.013","0.0019","0.1846","1.01","1.02","3"
"urine-stat-row-36","-Specific Gravity","CU-25-01","Siemens Healthineers","Clinitek 500  Urine Chemistry Analyzer","1","1.01","1.01","","","","","3"
"urine-stat-row-37","-Specific Gravity","CU-25-01","Siemens Healthineers","CLINITEK Advantus® Urine Chemistry Analyzer","55","1.0129","1.015","0.0032","0.3142","1.01","1.02","3"
"urine-stat-row-38","-Specific Gravity","CU-25-01","Siemens Healthineers","CLINITEK Novus™ Automated Urine Chemistry Analyzer","59","1.0132","1.013","0.0000","0","1.012","1.016","3"
"urine-stat-row-39","-Specific Gravity","CU-25-01","Siemens Healthineers","CLINITEK Status® Urine Chemistry Analyzer","1","1.02","1.02","","","","","3"
"urine-stat-row-40","-Specific Gravity","CU-25-01","Siemens Healthineers","CLINITEK Status®+ Urine Chemistry Analyzer","3","1.015","1.015","0.0000","0","1.015","1.015","3"
"urine-stat-row-41","-Specific Gravity","CU-25-01","Sysmex","","167","1.0129","1.013","0.0007","0.0714","1.011","1.02","3"
"urine-stat-row-42","-Specific Gravity","CU-25-01","Sysmex","UC-1000","1","1.012","1.012","","","","","3"
"urine-stat-row-43","-Specific Gravity","CU-25-01","Sysmex","UC-3500","166","1.0129","1.013","0.0007","0.0713","1.011","1.02","3"
"urine-stat-row-44","-Specific Gravity","CU-25-01","URIT Medical Electronic Co., Ltd.","","3","1.02","1.02","0.0000","0","1.02","1.02","3"
"urine-stat-row-45","-Specific Gravity","CU-25-01","URIT Medical Electronic Co., Ltd.","URIT-50","3","1.02","1.02","0.0000","0","1.02","1.02","3"
"urine-stat-row-46","-Specific Gravity","CU-25-01","YD diagnostics","","651","1.0158","1.015","0.0002","0.0242","1.005","1.03","3"
"urine-stat-row-47","-Specific Gravity","CU-25-01","YD diagnostics","육안판독","58","1.023","1.025","0.0030","0.2942","1.012","1.03","3"
"urine-stat-row-48","-Specific Gravity","CU-25-01","YD diagnostics","Uriscan optima","85","1.0157","1.015","0.0033","0.3283","1.005","1.025","3"
"urine-stat-row-49","-Specific Gravity","CU-25-01","YD diagnostics","URiSCAN OPTIMA+","3","1.0167","1.02","0.0058","0.5679","1.01","1.02","3"
