"회차년도","회차","프로그램명","검체","검체명","검사코드","하위검사명","기준분류명","세분류명","기관수","중간값","최소값","최대값","평균_out","표준편차_out","변동계수","단위","결과25","결과75"
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,"","",1805,5.500000,4.30000,6.90000,5.540000,0.150000,2.660000,g/dL,5.40000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,"",1795,5.500000,4.30000,6.90000,5.540000,0.150000,2.650000,g/dL,5.40000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Abbott,17,5.600000,5.30000,5.80000,5.570000,0.060000,1.110000,g/dL,5.50000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Beckman Coulter Inc.,238,5.500000,5.10000,6.90000,5.550000,0.130000,2.280000,g/dL,5.50000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Bion,58,5.600000,4.80000,6.10000,5.610000,0.140000,2.460000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Biosystems,118,5.600000,4.70000,6.00000,5.630000,0.150000,2.650000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Chema Diagnostica,2,,5.10000,5.60000,5.350000,0.350000,6.610000,g/dL,5.10000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Diasys,21,5.600000,5.10000,6.20000,5.560000,0.180000,3.320000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Elitechgroup,15,5.400000,4.90000,6.00000,5.350000,0.080000,1.450000,g/dL,5.30000,5.40000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Erba diagnostics,9,5.500000,5.20000,6.00000,5.570000,0.230000,4.120000,g/dL,5.50000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Fujifilm Corporation,1,5.100000,,,5.100000,,,g/dL,,
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Genematrix(구 진매트릭스바이오),4,5.700000,5.50000,5.70000,5.630000,0.100000,1.700000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,JW바이오사이언스㈜(구 JW중외메디칼),38,5.700000,5.40000,5.90000,5.730000,0.100000,1.750000,g/dL,5.70000,5.80000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,LC Diagnostics,5,5.600000,5.20000,5.70000,5.540000,0.190000,3.520000,g/dL,5.60000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Ortho Clinical Diagnostics,12,5.200000,5.10000,5.50000,5.250000,0.120000,2.220000,g/dL,5.20000,5.30000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,PZ Cormay,85,5.600000,4.80000,6.00000,5.630000,0.180000,3.110000,g/dL,5.50000,5.80000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Roche,353,5.500000,5.20000,6.70000,5.480000,0.090000,1.630000,g/dL,5.40000,5.50000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Sekisui Medical,349,5.500000,4.30000,6.20000,5.500000,0.130000,2.410000,g/dL,5.40000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",161,5.500000,5.20000,6.20000,5.560000,0.160000,2.790000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Siemens Healthineers,43,5.600000,5.50000,5.90000,5.640000,0.090000,1.650000,g/dL,5.60000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,"SNIBE Co.,Ltd",4,5.100000,4.70000,5.60000,5.130000,0.380000,7.370000,g/dL,4.70000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Stanbio,13,5.600000,5.40000,6.00000,5.640000,0.170000,3.030000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Thermo Fisher Scientific,6,5.800000,5.00000,6.30000,5.730000,0.440000,7.620000,g/dL,5.60000,6.00000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,Wako,131,5.500000,5.00000,5.80000,5.520000,0.110000,1.930000,g/dL,5.40000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,신양화학,6,5.700000,5.50000,5.90000,5.670000,0.150000,2.660000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,아산제약㈜,16,5.500000,5.10000,5.80000,5.450000,0.250000,4.640000,g/dL,5.20000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,㈜신화메디,18,5.500000,5.40000,5.80000,5.520000,0.120000,2.200000,g/dL,5.40000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,㈜아이비디랩,11,5.500000,5.40000,5.80000,5.490000,0.070000,1.340000,g/dL,5.40000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,㈜에스더블유헬스케어(구. 이든하이텍),1,5.500000,,,5.500000,,,g/dL,,
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,㈜제이앤티 바이오(구 ㈜젠바디),2,,5.10000,5.30000,5.200000,0.140000,2.720000,g/dL,5.10000,5.30000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,㈜지디엘코리아,47,5.600000,5.00000,6.20000,5.550000,0.150000,2.670000,g/dL,5.50000,5.60000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Biuret method,㈜티씨엠생명과학,11,5.600000,5.30000,5.80000,5.590000,0.140000,2.460000,g/dL,5.50000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Other Method,"",10,5.500000,5.20000,6.00000,5.520000,0.230000,4.170000,g/dL,5.40000,5.70000
"2025","03",일반화학검사,"1",CC-25-07,T2710,Total protein,Other Method,Others,9,5.500000,5.30000,6.00000,5.560000,0.210000,3.830000,g/dL,5.40000,5.70000
