회차년도,회차,검체명,검사명,제조사,Unacceptable rate
2025,01,CU-25-01,-pH,Abbott,0.59
2025,01,CU-25-01,-pH,Arkray Inc,0
2025,01,CU-25-01,-pH,Beckman Coulter Inc.,0
2025,01,CU-25-01,-pH,Eiken,0
2025,01,CU-25-01,-pH,Others,11.36
2025,01,CU-25-01,-pH,Roche,0
2025,01,CU-25-01,-pH,Siemens Healthineers,0
2025,01,CU-25-01,-pH,Sysmex,0
2025,01,CU-25-01,-pH,"URIT Medical Electronic Co., Ltd.",33.33
2025,01,CU-25-01,-pH,YD diagnostics,0.14
2025,01,CU-25-01,-pH,㈜디에프아이,1.22
2025,01,CU-25-01,-pH,청도제약,0
2025,01,CU-25-02,-pH,Abbott,1.78
2025,01,CU-25-02,-pH,Arkray Inc,0
2025,01,CU-25-02,-pH,Beckman Coulter Inc.,0
2025,01,CU-25-02,-pH,Eiken,8.33
2025,01,CU-25-02,-pH,Others,4.55
2025,01,CU-25-02,-pH,Roche,0
2025,01,CU-25-02,-pH,Siemens Healthineers,0
2025,01,CU-25-02,-pH,Sysmex,0
2025,01,CU-25-02,-pH,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-pH,YD diagnostics,4.39
2025,01,CU-25-02,-pH,㈜디에프아이,1.22
2025,01,CU-25-02,-pH,청도제약,0
2025,01,CU-25-03,-pH,Abbott,0.4
2025,01,CU-25-03,-pH,Arkray Inc,0
2025,01,CU-25-03,-pH,Beckman Coulter Inc.,0
2025,01,CU-25-03,-pH,Eiken,0
2025,01,CU-25-03,-pH,Others,0
2025,01,CU-25-03,-pH,Roche,0.56
2025,01,CU-25-03,-pH,Siemens Healthineers,1.68
2025,01,CU-25-03,-pH,Sysmex,0
2025,01,CU-25-03,-pH,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-pH,YD diagnostics,1.42
2025,01,CU-25-03,-pH,㈜디에프아이,0.61
2025,01,CU-25-03,-pH,청도제약,0
2025,01,CU-25-01,-Protein,Abbott,0.2
