"기관코드","기관명","검체명","검사명","rslt","제조사명","정답","기준SDI","세부SDI"
"1000000261","세웅병원","CU-25-01","-Protein","1+","Roche","-","",""
"1000000756","담양사랑병원","CU-25-01","-Protein","±","Roche","-","",""
"1000000859","상덕의원","CU-25-01","-pH","5.0","Others","5.5, 6.0, 6.5","",""
"1000000992","한화생명남대문검진센터","CU-25-01","-Protein","±","Roche","-","",""
"1000001168","누가외과연합의원","CU-25-01","-pH","5.0","Others","5.5, 6.0, 6.5","",""
"1000001365","송호신 내과 의원","CU-25-01","-pH","5.0","㈜디에프아이","5.5, 6.0, 6.5","",""
"1000001553","두암기독병원","CU-25-01","-pH","8.5","Abbott","5.5, 6.0, 6.5","",""
"1000001702","해군 2함대 의무대","CU-25-01","-pH","5.0","Others","5.5, 6.0, 6.5","",""
"1000001837","김정백 내과","CU-25-01","-pH","5.0","Abbott","5.5, 6.0, 6.5","",""
"1000001909","예일가정의학과의원","CU-25-01","-pH","5.0","URIT Medical Electronic Co., Ltd.","5.5, 6.0, 6.5","",""
"1000002232","우신향 병원","CU-25-01","-pH","5.0","Others","5.5, 6.0, 6.5","",""
"1000002571","이준상내과","CU-25-01","-pH","7.0","YD diagnostics","5.5, 6.0, 6.5","",""
"1000002640","기독내과의원","CU-25-01","-pH","5.0","Abbott","5.5, 6.0, 6.5","",""
"1000003564","강한속내과유외과","CU-25-01","-pH","5.0","Others","5.5, 6.0, 6.5","",""
"1000003592","굿프라임메디컬의원","CU-25-01","-pH","5.0","㈜디에프아이","5.5, 6.0, 6.5","",""
"1000000358","삼성서울병원","CU-25-01","-Glucose","±","Roche","-","",""
"1000000907","황효주내과의원","CU-25-01","-Glucose","±","Abbott","-","",""
"1000001095","성심중앙병원","CU-25-01","-Protein","±","Roche","-","",""
"1000001482","분당 자생 한방 병원","CU-25-01","-Protein","3+","Abbott","-","",""
"1000001745","예산명지병원","CU-25-01","-Protein","±","Roche","-","",""
"1000001837","김정백 내과","CU-25-01","-Glucose","±","Abbott","-","",""
"1000001870","속편한내과 서울한강점","CU-25-01","-Glucose","4+","㈜디에프아이","-","",""
"1000001961","성지내과이비인후과의원","CU-25-01","-Glucose","1+","YD diagnostics","-","",""
"1000002571","이준상내과","CU-25-01","-Protein","3+","YD diagnostics","-","",""
"1000002571","이준상내과","CU-25-01","-Glucose","4+","YD diagnostics","-","",""
"1000002750","김상영내과의원","CU-25-01","-Protein","±","Roche","-","",""
"1000002881","서울고든병원","CU-25-01","-Protein","±","㈜디에프아이","-","",""
"1000002988","정다운병원","CU-25-01","-Protein","±","㈜디에프아이","-","",""
"1000003248","목화병원","CU-25-01","-Protein","4+","Others","-","",""
"1000003551","연세세림내과","CU-25-01","-Protein","±","YD diagnostics","-","",""
"100000P035","서울 중구보건소","CU-25-01","-Protein","±","Roche","-","",""
"100000P097","금천구보건소","CU-25-01","-Protein","±","Roche","-","",""
"1000000742","대한산업보건협회 경북지부","CU-25-01","-Blood","1+","Abbott","-","",""
"1000000837","의료법인 건명의료재단","CU-25-01","-Blood","±","Abbott","-","",""
"1000001137","속편한내과의원","CU-25-01","-Blood","±","Abbott","-","",""
"1000001414","군산속편한내과의원","CU-25-01","-Blood","±","Abbott","-","",""
"1000001482","분당 자생 한방 병원","CU-25-01","-Blood","3+","Abbott","-","",""
"1000001665","28사단 의무근무대","CU-25-01","-Blood","±","YD diagnostics","-","",""
"1000001669","수도기계화보병사단 의무근무대","CU-25-01","-Blood","±","YD diagnostics","-","",""
"1000002243","장편한내과의원","CU-25-01","-Blood","±","YD diagnostics","-","",""
"1000002544","인곡자애병원","CU-25-01","-Blood","±","YD diagnostics","-","",""
"1000002571","이준상내과","CU-25-01","-Ketone","3+","YD diagnostics","-","",""
"1000002571","이준상내과","CU-25-01","-Bilirubin","3+","YD diagnostics","-","",""
"1000002571","이준상내과","CU-25-01","-Blood","3+","YD diagnostics","-","",""
"1000002801","서울삼성연합외과","CU-25-01","-Blood","±","Abbott","-","",""
"1000002988","정다운병원","CU-25-01","-Blood","±","㈜디에프아이","-","",""
"1000003248","목화병원","CU-25-01","-Blood","3+","Others","-","",""
"1000003551","연세세림내과","CU-25-01","-Blood","±","YD diagnostics","-","",""
"1000000135","해군 해양의료원","CU-25-01","-Nitrite","Positive","YD diagnostics","Negative","",""
"1000000475","영월의료원","CU-25-01","-Leukocyte","±","Siemens Healthineers","-","",""
"1000000719","장흥우리병원","CU-25-01","-Leukocyte","±","㈜디에프아이","-","",""
"1000000907","황효주내과의원","CU-25-01","-Urobilinogen","2+","Abbott","-/±","",""
"1000000907","황효주내과의원","CU-25-01","-Leukocyte","1+","Abbott","-","",""
"1000001352","구미 강남병원","CU-25-01","-Leukocyte","2+","YD diagnostics","-","",""
"1000001376","JS메디칼내과외과정형외과의원","CU-25-01","-Leukocyte","±","Abbott","-","",""
"1000001553","두암기독병원","CU-25-01","-Leukocyte","2+","Abbott","-","",""
"1000001651","8사단 의무근무대","CU-25-01","-Leukocyte","1+","㈜디에프아이","-","",""
"1000001657","30여단 의무중대","CU-25-01","-Leukocyte","1+","㈜디에프아이","-","",""
"1000002146","더숲요양병원","CU-25-01","-Leukocyte","1+","Abbott","-","",""
"1000002363","삼성연합의원","CU-25-01","-Nitrite","Positive","YD diagnostics","Negative","",""
"1000002571","이준상내과","CU-25-01","-Urobilinogen","3+","YD diagnostics","-/±","",""
"100000P079","은평구보건소","CU-25-01","-Urobilinogen","1+","Siemens Healthineers","-/±","",""
