testName,specimen,code,name,result,answer,standardSdi,detailSdi,maker,instrument
"-Urobilinogen","CU-25-01","1000000907","황효주내과의원","2+","-/±","","","Abbott","육안판독"
"-Urobilinogen","CU-25-01","1000002571","이준상내과","3+","-/±","","","YD diagnostics","육안판독"
"-Urobilinogen","CU-25-01","100000P079","은평구보건소","1+","-/±","","","Siemens Healthineers","CLINITEK Advantus® Urine Chemistry Analyzer"
"-Urobilinogen","CU-25-02","1000000907","황효주내과의원","2+","-/±","","","Abbott","육안판독"
"-Urobilinogen","CU-25-02","1000003070","의료법인 인산의료재단 자인플러스병원","4+","-/±","","","YD diagnostics","URiSCAN PRO+"
"-Urobilinogen","CU-25-02","1000003248","목화병원","3+","-/±","","","Others","Others"
"-Urobilinogen","CU-25-02","100000P079","은평구보건소","1+","-/±","","","Siemens Healthineers","CLINITEK Advantus® Urine Chemistry Analyzer"
"-Urobilinogen","CU-25-03","1000000150","해군포항병원","1+","2+, 3+, 4+","","","Arkray Inc","Aution max AX-4030"
"-Urobilinogen","CU-25-03","1000000581","인천병무지청","1+","2+, 3+, 4+","","","Arkray Inc","Aution max AX-4030"
"-Urobilinogen","CU-25-03","1000000607","서울지방병무청1","1+","2+, 3+, 4+","","","Arkray Inc","Aution max AX-4030"
"-Urobilinogen","CU-25-03","1000000907","황효주내과의원","1+","2+, 3+, 4+","","","Abbott","육안판독"
"-Urobilinogen","CU-25-03","1000001026","서울지방병무청2","1+","2+, 3+, 4+","","","Arkray Inc","Aution max AX-4030"
"-Urobilinogen","CU-25-03","1000001231","혜화영상의학과","-/±","2+, 3+, 4+","","","YD diagnostics","육안판독"
"-Urobilinogen","CU-25-03","1000001365","송호신 내과 의원","-/±","2+, 3+, 4+","","","㈜디에프아이","디유리더 300"
"-Urobilinogen","CU-25-03","1000001700","편한내과 통증의학과","1+","2+, 3+, 4+","","","Abbott","육안판독"
"-Urobilinogen","CU-25-03","1000001772","서울의원","-/±","2+, 3+, 4+","","","Abbott","UroMeter720 "
"-Urobilinogen","CU-25-03","1000001877","인본병원","1+","2+, 3+, 4+","","","YD diagnostics","Uriscan pro"
"-Urobilinogen","CU-25-03","1000002541","하나병원","1+","2+, 3+, 4+","","","㈜디에프아이","디유리더 R-600S"
"-Urobilinogen","CU-25-03","1000002564","선한빛요양병원","-/±","2+, 3+, 4+","","","YD diagnostics","Uriscan optima"
"-Urobilinogen","CU-25-03","1000002571","이준상내과","-/±","2+, 3+, 4+","","","YD diagnostics","육안판독"
"-Urobilinogen","CU-25-03","1000002696","샘고을요양병원","-/±","2+, 3+, 4+","","","Abbott","UroMeter120 "
"-Urobilinogen","CU-25-03","1000003070","의료법인 인산의료재단 자인플러스병원","-/±","2+, 3+, 4+","","","YD diagnostics","URiSCAN PRO+"
"-Urobilinogen","CU-25-03","1000003248","목화병원","-/±","2+, 3+, 4+","","","Others","Others"
"-Urobilinogen","CU-25-03","1000003585","새사당의원","1+","2+, 3+, 4+","","","YD diagnostics","Uriscan pro"
"Urine sediment","CUI-25-01","1000000045","인천기독병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000112","아산재단보령아산병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000656","은병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000661","윤호21병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000680","청파의료재단 수원중앙병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000723","화성중앙종합병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000885","영채내과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000933","광주시엘병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000000955","광주희망병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001020","인천온누리병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001084","비에비스 나무병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001105","굿모닝병원","RBC casts","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001107","대항병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001117","창동제일의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001139","해피뷰병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001208","원광메디칼내과영상의학과","Erythrocyte, dysmorphic","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001260","신호균 모두 드림 내과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001275","(의)인봉의료재단 영등포병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001333","HM병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001454","맑은수신경과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001464","광명속편한내과","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001467","의)인당의료재단 부민서울병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001770","씨엔씨푸른병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000001796","하나메디칼의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002093","안산경희재활요양병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002231","미래와 희망 산부인과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002326","행복한병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002478","경동의료재단 효성병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002524","청주프라임병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002606","의료법인 우리아이들의료재단 성북우리아이들병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002769","밝은내일내과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002793","화성디에스병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000002859","원광종합병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003013","베데스다병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003029","모커리한방병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003069","해운대내과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003146","김포정원내과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003160","민내과의원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003180","더나은내과","Erythrocyte, dysmorphic","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003197","홍이내과의원","Uric acid","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003224","청주탑엔도내과","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003232","코젤병원","Calcium carbonate","Calcium oxalate","","","",""
"Urine sediment","CUI-25-01","1000003551","연세세림내과","RBC casts","Calcium oxalate","","","",""
